file_name,try_fixed_smells
00278dd86b0e68c94926e5c1e3187072d03136cb.dockerfile,""
0055916bc2ad0c57325955b34946191db1f52b6e.dockerfile,"use-no-install-recommends"
006828776e78a849a1a789b07c394abe14743de2.dockerfile,"use-no-install-recommends"
007da5d4a7f9e34ada2ad18a90522888454273f8.dockerfile,""
00860dbfa6f241246f4a675e48f5635f2eb240bc.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone"
00a11566a112d1a6e3e3d3ff312212cbbe296376.dockerfile,""
00a2a1284237e2f707362749aca03ed4ba1f16f1.dockerfile,"use-no-install-recommends"
00aa4e9b457abeee518013375a0bc8f72f554381.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone"
00b06abd4eb1ea284a4b537cc69bd2ad1c579288.dockerfile,"use-copy-instead-of-add"
00b551e01f93cab279d31c4a74b33c4a30e705ec.dockerfile,""
00c5dab2512c3f758e433e4d104319ddbc4b1e26.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone,use-copy-instead-of-add"
00c70ca78e47fe19514e8909c71aa1f5a91d0f11.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone,have-a-user"
00ca4a48122070afa9c9128f4941fdf282c01dea.dockerfile,"use-copy-instead-of-add"
00d24e0e203464eaf07fb9e28826b737cb38e37f.dockerfile,""
00ef67c40cff1124f546aecf195ac589af109677.dockerfile,"use-copy-instead-of-add"
012d41ef7488cf964abcf0fa1f353dd31a82a2c3.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone"
0164c479f26d54df89e4a552c6cb2b6db75870af.dockerfile,""
016d7fc6a5ff1a2ad02bc9ace75f1238c191585c.dockerfile,"use-copy-instead-of-add"
017b6df5ec95a247735d2d36573f5a594ed63721.dockerfile,"use-no-install-recommends,use-copy-instead-of-add"
017d542669b2e9f33bf8e0981f1fcaa41a71c060.dockerfile,"use-no-install-recommends"
0180ec136fbfa5c3d0d7150823624e69ec779878.dockerfile,""
01a0ee4e72e1da51b9d8e694d9b27fb019e168cd.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone,use-copy-instead-of-add"
01a47cbc96d7087e8ecffe4e62d9761d0c2f8aac.dockerfile,""
01ab89e334db7383298dfef33d0e03900b9bf76b.dockerfile,""
01b0b38b08b9935488a5fa893f469666f0227977.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone,use-copy-instead-of-add"
01b5712484d56437f91e0748515252872d9e50cd.dockerfile,""
01b9741c00bf132859b62c6a8173aa00a733cf2c.dockerfile,"use-no-install-recommends"
01d937db130e80b2e301ac0fea907a861cf411a6.dockerfile,""
01ddc4bf07ce48235dd62d2612fb6a2bc466bf6c.dockerfile,""
01e787466b7c2248a7465f413e587932d4b5bc06.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone"
01f769b5bf54ce2f99a5a537174bf61c333e2b28.dockerfile,""
02175ebc2f65d5075ced11e93844b0ec05746ac6.dockerfile,"use-no-install-recommends,use-copy-instead-of-add"
0247d1d19ce6365f12defbc3a851fa761ce96084.dockerfile,"use-no-install-recommends,do-not-use-apt-get-update-alone"
0249f82324e1d351ccfa65cdcffb8463f86784a7.dockerfile,""
0257721ff6e528495d01d239acaee4bf67feb287.dockerfile,""
025a02e1bd3c452af36a69023239d4c120027833.dockerfile,"use-no-install-recommends"
0260b6233ca8f1db14f7626fdacdaea2b661e199.dockerfile,"use-no-install-recommends"
02667058594db36b7917a843b75820bf3244e84a.dockerfile,""
